Freq.	V(vd)	V(vtest_in)	I(V4)
2.18776162394955e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.23872113856834e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.29086765276777e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.34422881531992e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.39883291901949e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.45470891568503e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.51188643150958e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.57039578276886e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.63026799189538e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.69153480392691e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.75422870333816e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.81838293126445e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.88403150312660e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.95120922666638e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
